timestamp,left_elevon_ted_cdeg,right_elevon_ted_cdeg,lower_rudder_tel_cdeg,upper_rudder_tel_cdeg,left_tvc_upper_cdeg,left_tvc_lower_cdeg,right_tvc_upper_cdeg,right_tvc_lower_cdeg,left_engine_prct_thrust,right_engine_prct_thrust
3316620,0,0,0,0,-530.663,-228.72145,-76.01179,-574.0702,7.8810306,7.8810306
3316622,0,0,0,0,-550.8299,-247.21066,-89.307144,-585.6879,7.8810306,7.8810306
3316624,0,0,0,0,-554.0601,-253.12666,-105.30787,-604.3744,7.8810306,7.8810306
3316626,0,0,0,0,-549.4802,-247.94763,-118.537445,-617.0048,7.8810306,7.8810306
3316628,0,0,0,0,-541.09283,-236.6053,-116.76377,-612.27625,7.8810306,7.8810306
3316630,0,0,0,0,-530.1438,-223.18149,-105.53777,-598.5755,7.8810306,7.8810306
3316632,0,0,0,0,-508.89078,-210.92244,-91.58302,-593.6147,7.8810306,7.8810306
3316634,0,0,0,0,-499.31577,-206.3111,-84.66157,-591.6569,7.8810306,7.8810306
3316636,0,0,0,0,-507.87094,-217.20143,-85.0502,-594.3807,7.8810306,7.8810306
3316638,0,0,0,0,-524.0696,-229.8637,-94.991234,-600.78534,7.8810306,7.8810306
3316640,0,0,0,0,-533.747,-239.72183,-106.4121,-612.3869,7.8810306,7.8810306
3316642,0,0,0,0,-547.37915,-245.9597,-111.44205,-610.0226,7.8810306,7.8810306
3316644,0,0,0,0,-551.97925,-246.30801,-107.09695,-601.4257,7.8810306,7.8810306
3316646,0,0,0,0,-534.64954,-237.91922,-95.11372,-598.38336,7.8810306,7.8810306
3316648,0,0,0,0,-525.9713,-230.67604,-90.77642,-595.48114,7.8810306,7.8810306
3316650,0,0,0,0,-525.8777,-217.60086,-92.126045,-583.8492,7.8810306,7.8810306
3316652,0,0,0,0,-522.4356,-205.65709,-97.554,-580.77545,7.8810306,7.8810306
3316654,0,0,0,0,-522.30774,-209.85287,-99.12504,-586.6702,7.8810306,7.8810306
3316656,0,0,0,0,-528.4805,-217.74197,-107.2454,-596.50684,7.8810306,7.8810306
3316658,0,0,0,0,-531.8,-231.42992,-113.715324,-613.3453,7.8810306,7.8810306
3316660,0,0,0,0,-539.594,-240.45801,-118.58986,-619.4539,7.8810306,7.8810306
3316662,0,0,0,0,-534.05927,-240.71179,-108.0016,-614.6541,7.8810306,7.8810306
3316664,0,0,0,0,-520.08795,-225.8337,-97.684555,-603.4303,7.8810306,7.8810306
3316666,0,0,0,0,-513.2186,-224.27248,-77.65485,-588.7087,7.8810306,7.8810306
3316668,0,0,0,0,-521.6473,-230.48116,-77.962296,-586.79614,7.8810306,7.8810306
3316670,0,0,0,0,-530.71783,-234.92163,-87.28025,-591.4841,7.8810306,7.8810306
3316672,0,0,0,0,-535.3837,-235.51361,-98.860954,-598.99084,7.8810306,7.8810306
3316674,0,0,0,0,-534.7937,-250.01067,-97.845856,-613.06287,7.8810306,7.8810306
3316676,0,0,0,0,-540.1769,-252.72977,-104.83099,-617.38385,7.8810306,7.8810306
3316678,0,0,0,0,-546.1364,-239.55692,-117.643394,-611.0639,7.8810306,7.8810306
3316680,0,0,0,0,-530.1384,-218.5111,-108.26667,-596.63934,7.8810306,7.8810306
3316682,0,0,0,0,-521.98834,-210.24109,-95.93927,-584.192,7.8810306,7.8810306
3316684,0,0,0,0,-519.6122,-204.58134,-93.29115,-578.2603,7.8810306,7.8810306
3316686,0,0,0,0,-520.7797,-205.44547,-102.92881,-587.59454,7.8810306,7.8810306
